"","author_speech_id","author","date","title","source"
"1","Hillary Clinton_1","Hillary Clinton",2016-11-03,"Remarks alongside Alicia Machado in Dade City, FL","Clinton Official"
"2","Hillary Clinton_2","Hillary Clinton",2016-11-01,"Remarks in Cincinnati on gun control and national security","Clinton Official"
"3","Hillary Clinton_3","Hillary Clinton",2016-08-08,"Remarks on small businesses and creating jobs in St. Petersburg, FL","Clinton Official"
"4","Hillary Clinton_4","Hillary Clinton",2016-08-05,"Remarks on criminal justice and immigration reform in Washington D.C.","Clinton Official"
"5","Hillary Clinton_5","Hillary Clinton",2016-08-04,"Remarks on 100 Day Jobs Plan in Las Vegas, NV","Clinton Official"
"6","Hillary Clinton_6","Hillary Clinton",2016-08-03,"Remarks on strengthening the economy and protecting public lands in Commerce City, Colorado","Clinton Official"
"7","Hillary Clinton_7","Hillary Clinton",2016-08-01,"Remarks on economic policy with Warren Buffett in Omaha, Nebraska","Clinton Official"
"8","Hillary Clinton_8","Hillary Clinton",2016-07-31,"Remarks on the economy in Columbus, Ohio","Clinton Official"
"9","Hillary Clinton_9","Hillary Clinton",2016-07-30,"Remarks on manufacturing and jobs in Youngstown, Ohio","Clinton Official"
"10","Hillary Clinton_10","Hillary Clinton",2016-07-30,"Remarks on building a 21st century economy in Pittsburgh, Pennsylvania","Clinton Official"
"11","Hillary Clinton_11","Hillary Clinton",2016-07-30,"Remarks contrasting 100 day jobs plan with Trump’s record of outsourcing in Johnstown, Pennsylvania","Clinton Official"
"12","Hillary Clinton_12","Hillary Clinton",2016-07-29,"Remarks on American manufacturing jobs in Hatfield, Pennsylvania","Clinton Official"
"13","Hillary Clinton_13","Hillary Clinton",2016-07-26,"Remarks on rejecting Donald Trump’s vision of America in Tampa, Florida","Clinton Official"
"14","Hillary Clinton_14","Hillary Clinton",2016-07-26,"Remarks at the 87th LULAC National Convention in Washington, D.C.","Clinton Official"
"15","Hillary Clinton_15","Hillary Clinton",2016-07-25,"Remarks at the VFW Convention in Charlotte, North Carolina","Clinton Official"
"16","Hillary Clinton_16","Hillary Clinton",2016-07-18,"Remarks at the NAACP 107th Annual Convention in Cincinnati, OH","Clinton Official"
"17","Hillary Clinton_17","Hillary Clinton",2016-07-13,"Remarks on American Values","Clinton Official"
"18","Hillary Clinton_18","Hillary Clinton",2016-07-13,"Remarks on bridging divides in America","Clinton Official"
"19","Hillary Clinton_19","Hillary Clinton",2016-07-12,"Remarks at an event with Senator Bernie Sanders in Portsmouth, New Hampshire","Clinton Official"
"20","Hillary Clinton_20","Hillary Clinton",2016-07-11,"Remarks at the African Methodist Episcopal Church National Convention","Clinton Official"
"21","Hillary Clinton_21","Hillary Clinton",2016-07-05,"Remarks at an event with President Obama in Charlotte, North Carolina","Clinton Official"
"22","Hillary Clinton_22","Hillary Clinton",2016-07-01,"Remarks on securing the Democratic nomination","Clinton Official"
"23","Hillary Clinton_27","Hillary Clinton",2016-09-15,"Remarks at the University of North Carolina in Greensboro","UCSB"
"24","Hillary Clinton_28","Hillary Clinton",2016-09-18,"Remarks to the Congressional Black Caucus in Washington, D.C.","UCSB"
"25","Hillary Clinton_29","Hillary Clinton",2016-09-27,"Remarks at Wake Technical Community College in Raleigh, North Carolina","UCSB"
"26","Hillary Clinton_30","Hillary Clinton",2016-09-28,"Remarks at the University of New Hampshire in Durham","UCSB"
"27","Hillary Clinton_31","Hillary Clinton",2016-09-29,"Remarks at Cowles Commons in Des Moines, Iowa","UCSB"
"28","Hillary Clinton_32","Hillary Clinton",2016-09-30,"Remarks at Coral Springs Gymnasium in Coral Springs, Florida","UCSB"
"29","Hillary Clinton_33","Hillary Clinton",2016-10-02,"Remarks at Little Rock AME Zion Church in Charlotte, North Carolina","UCSB"
"30","Hillary Clinton_34","Hillary Clinton",2016-10-03,"Remarks at Martin Luther King, Jr., Plaza in Toledo, Ohio","UCSB"
"31","Hillary Clinton_35","Hillary Clinton",2016-10-10,"Remarks at Ohio State University in Columbus","UCSB"
"32","Hillary Clinton_36","Hillary Clinton",2016-10-11,"Remarks at the Kendall Campus of Miami Dade College in Miami, Florida","UCSB"
"33","Hillary Clinton_37","Hillary Clinton",2016-10-12,"Remarks at the Palace of Agriculture at the Colorado State Fairgrounds in Pueblo","UCSB"
"34","Hillary Clinton_38","Hillary Clinton",2016-10-20,"Remarks at the 71st Annual Alfred E. Smith Memorial Foundation Dinner at the Waldorf Astoria Hotel in New York City","UCSB"
"35","Hillary Clinton_39","Hillary Clinton",2016-10-21,"Remarks at Cuyahoga Community College in Cleveland, Ohio","UCSB"
"36","Hillary Clinton_40","Hillary Clinton",2016-10-22,"Remarks to the Press Aboard the Campaign Plane in Pittsburgh, Pennsylvania","UCSB"
"37","Hillary Clinton_41","Hillary Clinton",2016-10-22,"Remarks at Taylor Allderdice High School in Pittsburgh, Pennsylvania","UCSB"
"38","Hillary Clinton_42","Hillary Clinton",2016-10-25,"Remarks at Broward College's North Campus in Coconut Creek, Florida","UCSB"
"39","Hillary Clinton_43","Hillary Clinton",2016-10-27,"Remarks at Wake Forest University in Winston-Salem, North Carolina","UCSB"
"40","Hillary Clinton_44","Hillary Clinton",2016-10-29,"Remarks at the Dickerson Community Center in Daytona Beach, Florida","UCSB"
"41","Hillary Clinton_45","Hillary Clinton",2016-10-30,"Remarks at the Manor Complex in Wilton Manors, Florida","UCSB"
"42","Hillary Clinton_46","Hillary Clinton",2016-10-31,"Remarks at Smale Riverfront Park in Cincinnati, Ohio","UCSB"
"43","Hillary Clinton_47","Hillary Clinton",2016-10-31,"Remarks at the Kent State Student Recreation Center in Kent, Ohio","UCSB"
