"","document","topic","gamma","author","date","title","source","top_words"
"1","Donald Trump_126",1,0.0210756199851307,"Donald Trump",2016-07-22,"Donald Trump Republican presidential candidate delivers remarks to volunteers at the Republican National Convention","The Grammar Lab","police child justice community officer black violence"
"2","Donald Trump_127",1,0.0292256735569047,"Donald Trump",2016-07-25,"Donald Trump Republican presidential candidate and Gov Mike Pence Republican vice presidential candidate hold a townhall meeting","The Grammar Lab","police child justice community officer black violence"
"3","Donald Trump_128",1,0.0698295569501811,"Donald Trump",2016-07-26,"Donald Trump Republican Presidential Candidate delivers remarks at the VFW Convention","The Grammar Lab","police child justice community officer black violence"
"4","Donald Trump_129",1,6.4015438183685e-05,"Donald Trump",2016-07-27,"Donald Trump Republican presidential candidate delivers remarks at a campaign event","The Grammar Lab","police child justice community officer black violence"
"5","Donald Trump_130",1,0.0055986870770268,"Donald Trump",2016-08-01,"Donald Trump Republican presidential candidate deliver remarks at a campaign event","The Grammar Lab","police child justice community officer black violence"
"6","Donald Trump_131",1,5.91161550516713e-05,"Donald Trump",2016-08-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Ashburn Virginia","The Grammar Lab","police child justice community officer black violence"
"7","Donald Trump_132",1,0.0476231549511701,"Donald Trump",2016-08-04,"Donald Trump Republican Presidential Candidate holds a campaign rally in Maine","The Grammar Lab","police child justice community officer black violence"
"8","Donald Trump_133",1,0.000612580308602059,"Donald Trump",2016-08-10,"Donald Trump Republican Presidential Candidate delivers remarks in Abingdon Virginia","The Grammar Lab","police child justice community officer black violence"
"9","Donald Trump_134",1,6.94404535205749e-05,"Donald Trump",2016-08-12,"Donald Trump Republican Presidential Candidate holds a campaign rally in Altoona PA 24","The Grammar Lab","police child justice community officer black violence"
"10","Donald Trump_135",1,0.0876553004206323,"Donald Trump",2016-08-17,"Donald Trump Republican Presidential Candidate participates in a Fox News townhall event","The Grammar Lab","police child justice community officer black violence"
"11","Donald Trump_136",1,0.0697313385923897,"Donald Trump",2016-08-22,"Donald Trump Republican Presidential Candidate Delivers Remarks At A Campaign Event","The Grammar Lab","police child justice community officer black violence"
"12","Donald Trump_137",1,0.191352483917455,"Donald Trump",2016-08-23,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Austin Texas","The Grammar Lab","police child justice community officer black violence"
"13","Donald Trump_138",1,6.61092626488205e-05,"Donald Trump",2016-08-24,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Tampa Florida SD","The Grammar Lab","police child justice community officer black violence"
"14","Donald Trump_139",1,0.0793069157961042,"Donald Trump",2016-08-25,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Manchester New Hampshire SD","The Grammar Lab","police child justice community officer black violence"
"15","Donald Trump_140",1,0.147802804553679,"Donald Trump",2016-08-30,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Everett Washington 24","The Grammar Lab","police child justice community officer black violence"
"16","Donald Trump_141",1,0.00067652138783423,"Donald Trump",2016-09-06,"Donald Trump Republican presidential candidate delivers remarks at a campaign event","The Grammar Lab","police child justice community officer black violence"
"17","Donald Trump_142",1,0.0369563183359888,"Donald Trump",2016-09-06,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Greenville North Carolina 24","The Grammar Lab","police child justice community officer black violence"
"18","Donald Trump_143",1,0.000223579879140775,"Donald Trump",2016-09-07,"Donald Trump Republican presidential candidate delivers remarks at the New York state Conservative Party presidential convention","The Grammar Lab","police child justice community officer black violence"
"19","Donald Trump_144",1,0.000388183647363116,"Donald Trump",2016-09-09,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Pensacola Florida SD24","The Grammar Lab","police child justice community officer black violence"
"20","Donald Trump_145",1,0.0350892295586348,"Donald Trump",2016-09-12,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Asheville North Carolina SD24","The Grammar Lab","police child justice community officer black violence"
"21","Donald Trump_146",1,0.00376451402531025,"Donald Trump",2016-09-16,"Donald Trump GOP Presidential Candidate Remarks at Campaign Event in Miami Florida","The Grammar Lab","police child justice community officer black violence"
"22","Donald Trump_147",1,0.000119903553424298,"Donald Trump",2016-09-29,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Bedford New Hampshire","The Grammar Lab","police child justice community officer black violence"
"23","Donald Trump_148",1,8.30962808048719e-05,"Donald Trump",2016-09-30,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Novi Michigan SD24","The Grammar Lab","police child justice community officer black violence"
"24","Donald Trump_149",1,0.00908242645333695,"Donald Trump",2016-10-03,"Donald Trump Republican Presidential Candidate delivers remarks at Retired American Warriors PAC","The Grammar Lab","police child justice community officer black violence"
"25","Donald Trump_150",1,0.030295302641585,"Donald Trump",2016-10-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Henderson Nevada SD24","The Grammar Lab","police child justice community officer black violence"
"26","Donald Trump_151",1,7.43809944559643e-05,"Donald Trump",2016-10-06,"Donald Trump Republican presidential candidate holds a townhall meeting Sandown New Hampshire","The Grammar Lab","police child justice community officer black violence"
"27","Donald Trump_152",1,7.75686011218224e-05,"Donald Trump",2016-10-10,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Ambridge Pennsylvania SD24","The Grammar Lab","police child justice community officer black violence"
"28","Donald Trump_153",1,0.00839186680304426,"Donald Trump",2016-10-10,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in WilkesBarre Pennsylvania 24","The Grammar Lab","police child justice community officer black violence"
"29","Donald Trump_154",1,0.00177303956715962,"Donald Trump",2016-10-11,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Panama City Florida 24","The Grammar Lab","police child justice community officer black violence"
