"","document","topic","gamma","author","date","title","source","top_words"
"1","Donald Trump_141",1,0.0609791765478363,"Donald Trump",2016-09-06,"Donald Trump Republican presidential candidate delivers remarks at a campaign event","The Grammar Lab","help life nuclear weapon war officer gun ally"
"2","Donald Trump_142",1,4.9075149579832e-05,"Donald Trump",2016-09-06,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Greenville North Carolina 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"3","Donald Trump_143",1,0.000130043814658464,"Donald Trump",2016-09-07,"Donald Trump Republican presidential candidate delivers remarks at the New York state Conservative Party presidential convention","The Grammar Lab","help life nuclear weapon war officer gun ally"
"4","Donald Trump_144",1,0.000225768327032588,"Donald Trump",2016-09-09,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Pensacola Florida SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"5","Donald Trump_145",1,6.16930762871504e-05,"Donald Trump",2016-09-12,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Asheville North Carolina SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"6","Donald Trump_146",1,0.0434195384431243,"Donald Trump",2016-09-16,"Donald Trump GOP Presidential Candidate Remarks at Campaign Event in Miami Florida","The Grammar Lab","help life nuclear weapon war officer gun ally"
"7","Donald Trump_147",1,6.97442956992567e-05,"Donald Trump",2016-09-29,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Bedford New Hampshire","The Grammar Lab","help life nuclear weapon war officer gun ally"
"8","Donald Trump_148",1,4.83353873939193e-05,"Donald Trump",2016-09-30,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Novi Michigan SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"9","Donald Trump_149",1,3.18414974033396e-05,"Donald Trump",2016-10-03,"Donald Trump Republican Presidential Candidate delivers remarks at Retired American Warriors PAC","The Grammar Lab","help life nuclear weapon war officer gun ally"
"10","Donald Trump_150",1,0.0220783302261026,"Donald Trump",2016-10-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Henderson Nevada SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"11","Donald Trump_151",1,4.32660502475042e-05,"Donald Trump",2016-10-06,"Donald Trump Republican presidential candidate holds a townhall meeting Sandown New Hampshire","The Grammar Lab","help life nuclear weapon war officer gun ally"
"12","Donald Trump_152",1,0.000684727200898049,"Donald Trump",2016-10-10,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Ambridge Pennsylvania SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"13","Donald Trump_153",1,4.88373264096419e-05,"Donald Trump",2016-10-10,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in WilkesBarre Pennsylvania 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"14","Donald Trump_154",1,4.00710974182225e-05,"Donald Trump",2016-10-11,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Panama City Florida 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"15","Donald Trump_155",1,0.00761808052094345,"Donald Trump",2016-10-12,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Lakeland Florida SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"16","Donald Trump_156",1,6.0115866709791e-05,"Donald Trump",2016-10-14,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Greensboro North Carolina SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"17","Donald Trump_157",1,4.83685287818884e-05,"Donald Trump",2016-10-14,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Charlotte North Carolina 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"18","Donald Trump_158",1,5.54823311523982e-05,"Donald Trump",2016-10-17,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Green Bay Wisconsin SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"19","Donald Trump_159",1,0.00151748209714423,"Donald Trump",2016-10-18,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Grand Junction Colorado SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"20","Donald Trump_160",1,0.000104129493520482,"Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Newtown Pennsylvania 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"21","Donald Trump_161",1,5.668608457835e-05,"Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Fletcher North Carolina SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"22","Donald Trump_162",1,7.39869165930801e-05,"Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Johnstown Pennsylvania SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"23","Donald Trump_163",1,4.04850407912749e-05,"Donald Trump",2016-10-31,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Grand Rapids Michigan","The Grammar Lab","help life nuclear weapon war officer gun ally"
"24","Donald Trump_164",1,0.00502337169634139,"Donald Trump",2016-11-01,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Eau Claire Wisconsin","The Grammar Lab","help life nuclear weapon war officer gun ally"
"25","Donald Trump_165",1,0.000110145156476579,"Donald Trump",2016-11-01,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Valley Forge Pennsylvania","The Grammar Lab","help life nuclear weapon war officer gun ally"
"26","Donald Trump_166",1,5.33830495697643e-05,"Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Miami Florida SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"27","Donald Trump_167",1,5.22754024875842e-05,"Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Pensacola Florida 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"28","Donald Trump_168",1,7.74812354549066e-05,"Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Orlando Florida SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"29","Donald Trump_169",1,4.843494808635e-05,"Donald Trump",2016-11-03,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Jacksonville Florida SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
