from,to
[[:blank:]]michelle[[:blank:]]obama[[:blank:]], michelleobama 
[[:blank:]]michelle[[:blank:]], michelleobama 
[[:blank:]]bill[[:blank:]]clinton[[:blank:]], billclinton 
[[:blank:]]william[[:blank:]]clinton[[:blank:]], billclinton 
[[:blank:]]clinton[[:punct:]]s[[:blank:]], clinton 
[[:blank:]]hillary[[:blank:]](rodham[[:blank:]])?clinton[[:blank:]], hillaryclinton 
[[:blank:]]madam[[:blank:]]secretrary[[:blank:]], hillaryclinton 
[[:blank:]](secretrary[[:blank:]])?clinton[[:blank:]], hillaryclinton 
[[:blank:]](secretrary[[:blank:]])?(of[[:blank:]]state[[:blank:]])?(hillary[[:blank:]])?(clinton[[:blank:]])?, hillaryclinton 
[[:blank:]]secretrary[[:blank:]]clinton[[:blank:]], hillaryclinton 
[[:blank:]]hillary(s)?[[:blank:]], hillaryclinton 
[[:blank:]]donald[[:blank:]](j[[:blank:]])?trump[[:blank:]], donaldtrump 
[[:blank:]]trump[[:blank:]], donaldtrump 
[[:blank:]]donald[[:blank:]], donaldtrump 
[[:blank:]](president[[:blank:]])?barack[[:blank:]]obama[[:blank:]], barackobama 
[[:blank:]](president[[:blank:]])?obama[[:blank:]], barackobama 
[[:blank:]]barack[[:blank:]], barackobama 
[[:blank:]]obama[[:blank:]], barackobama 
[[:blank:]](senator[[:blank:]])?bernie[[:blank:]]sanders[[:blank:]], berniesanders 
[[:blank:]]senator[[:blank:]]sander(s)?[[:blank:]], berniesanders 
[[:blank:]](senator[[:blank:]])?sander(s)?[[:blank:]], berniesanders 
[[:blank:]]bernie[[:blank:]], berniesanders 
[[:blank:]]sander[[:punct:]]?s?[[:blank:]], berniesanders 
[[:blank:]]sander[[:blank:]], berniesanders 
[[:blank:]](senator[[:blank:]])?ted[[:blank:]]cruz[[:blank:]], tedcruz 
[[:blank:]](senator[[:blank:]])?cruz[[:blank:]], tedcruz 
[[:blank:]]ted[[:blank:]], tedcruz 
[[:blank:]](governor[[:blank:]])?chris[[:blank:]]christie[[:blank:]], chrischristie 
[[:blank:]](governor[[:blank:]])?christie[[:blank:]], chrischristie 
[[:blank:]](governor[[:blank:]])?john[[:blank:]]kasich[[:blank:]], johnkasich 
